Date,Close
2014-01-02,27.83
2014-01-03,27.63
2014-01-06,27.93
2014-01-07,28.47
2014-01-08,28.53
2014-01-09,28.26
2014-01-10,28.25
2014-01-13,28.07
2014-01-14,28.74
2014-01-15,28.72
2014-01-16,28.91
2014-01-17,28.76
2014-01-21,29.09
2014-01-22,29.13
2014-01-23,29
2014-01-24,28.1
2014-01-27,27.53
2014-01-28,28.08
2014-01-29,27.67
2014-01-30,28.38
2014-01-31,29.52
2014-02-03,28.34
2014-02-04,28.45
2014-02-05,28.58
2014-02-06,29
2014-02-07,29.44
2014-02-10,29.32
2014-02-11,29.75
2014-02-12,29.67
2014-02-13,30
2014-02-14,30.07
2014-02-18,30.27
2014-02-19,30.06
2014-02-20,30.1
2014-02-21,30.09
2014-02-24,30.31
2014-02-25,30.5
2014-02-26,30.5
2014-02-27,30.48
2014-02-28,30.39
2014-03-03,30.07
2014-03-04,30.37
2014-03-05,30.46
2014-03-06,30.49
2014-03-07,30.37
2014-03-10,30.29
2014-03-11,30
2014-03-12,30.18
2014-03-13,29.73
2014-03-14,29.32
2014-03-17,29.8
2014-03-18,30.28
2014-03-19,29.98
2014-03-20,29.93
2014-03-21,29.58
2014-03-24,28.95
2014-03-25,28.97
2014-03-26,28.3
2014-03-27,27.86
2014-03-28,28
2014-03-31,27.86
2014-04-01,28.37
2014-04-02,28.38
2014-04-03,28.58
2014-04-04,27.26
2014-04-07,27.03
2014-04-08,27.88
2014-04-09,28.35
2014-04-10,27.33
2014-04-11,26.89
2014-04-14,27.26
2014-04-15,27.44
2014-04-16,28.2
2014-04-17,27.17
2014-04-21,26.97
2014-04-22,27.28
2014-04-23,26.88
2014-04-24,26.72
2014-04-25,26.16
2014-04-28,26.15
2014-04-29,26.82
2014-04-30,26.74
2014-05-01,26.93
2014-05-02,26.69
2014-05-05,26.77
2014-05-06,26.13
2014-05-07,25.9
2014-05-08,26.01
2014-05-09,26.33
2014-05-12,26.92
2014-05-13,27.08
2014-05-14,26.72
2014-05-15,26.46
2014-05-16,26.42
2014-05-19,26.94
2014-05-20,27.02
2014-05-21,27.49
2014-05-22,27.77
2014-05-23,28.19
2014-05-27,28.74
2014-05-28,28.52
2014-05-29,28.53
2014-05-30,28.58
2014-06-02,28.22
2014-06-03,27.73
2014-06-04,27.69
2014-06-05,28.25
2014-06-06,28.3
2014-06-09,28.54
2014-06-10,28.42
2014-06-11,28.38
2014-06-12,27.98
2014-06-13,28.02
2014-06-16,27.62
2014-06-17,27.53
2014-06-18,28.03
2014-06-19,28.25
2014-06-20,28.33
2014-06-23,28.71
2014-06-24,28.63
2014-06-25,29.3
2014-06-26,29.24
2014-06-27,29.28
2014-06-30,29.23
2014-07-01,29.57
2014-07-02,29.54
